DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
SEPARATOR SPACE
ALS14T3 98.462 98.96 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
ALS14T5 100 100 99.762 100 99.721 100 100 100 100 100 99.153
ALS17T10 100 100 99.762 100 99.721 100 100 100 100 100 99.153
ALS17T9 100 100 99.762 100 99.721 100 100 100 100 100 99.153
ALS6 98.462 99.307 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
Alma311 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 99.678 100 99.153
AlmaEM3 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
AlmaReb2 98.974 98.96 97.857 100 97.486 99.091 99.099 98.864 99.843 X 99.153
Alpha3 100 99.827 99.762 100 99.721 100 100 100 100 100 99.153
Ann-1 98.974 99.48 99.524 100 X 99.091 100 100 97.959 100 99.153
B3_SN17-2_IS 100 100 99.762 100 99.721 100 100 100 100 100 99.153
BB08-1 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
BBI10 98.462 99.133 99.524 100 99.162 99.545 98.649 X 99.686 100 99.153
BBI64 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 X 100 99.153
BBI80 98.462 99.133 99.524 100 X 99.545 98.649 99.432 99.686 100 99.153
BH-elm 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
CCPM1 100 100 99.762 100 99.721 100 100 100 100 100 99.153
CFBP7969 100 100 99.762 100 99.721 100 100 100 100 100 99.153
CFBP7970 100 100 99.762 100 99.721 100 100 100 100 100 99.153
CFBP8068 98.462 99.133 99.524 100 99.162 99.545 98.649 X 99.686 100 99.153
CFBP8072 X 99.307 99.762 99.303 98.603 95 96.396 99.432 98.116 99.709 99.153
CFBP8073 98.974 99.653 99.762 100 99.721 99.545 100 100 100 100 99.153
CFBP8074 X 99.307 99.762 86.644 98.603 95 96.396 99.432 X 99.709 98.305
CFBP8075 98.462 99.307 99.524 100 99.162 99.545 98.649 99.432 99.528 100 99.153
CFBP8082 100 100 99.762 100 99.721 100 100 100 100 100 99.153
CFBP8083 100 100 99.762 100 99.721 100 100 100 100 100 99.153
CFBP8084 100 99.133 99.524 100 X 100 99.55 100 99.686 100 99.153
CFBP8351 100 100 99.762 100 99.721 100 100 100 100 100 99.153
CFBP8356 100 99.48 99.524 100 99.721 99.091 100 99.432 99.686 100 99.153
CFBP8416 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
CFBP8417 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
CFBP8418 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
CFBP8478 100 99.48 99.524 100 99.721 99.091 100 99.432 99.686 100 99.153
CO33 100 99.48 99.524 100 99.721 99.091 100 99.432 99.686 100 99.153
Conn-creek 100 100 99.762 100 99.721 100 100 100 100 99.709 99.153
De_Donno X 99.133 X 98.955 98.603 95 96.396 99.432 98.116 99.709 99.153
Dixon 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
EB92-1 100 100 99.762 100 99.721 100 100 100 100 100 99.153
ESVL 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
Fetzer 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Fillmore 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
GAplum 98.462 99.133 99.524 100 98.315 99.545 98.649 98.864 99.058 100 99.153
GILGRA274ext 98.462 99.133 99.524 100 99.162 X 98.649 98.864 99.215 100 99.153
IAS-AXF212H7 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
IAS-AXF64H11 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 X 100 94.068
IVIA5235 100 100 99.762 100 99.721 100 100 100 100 100 99.153
IVIA5770 100 100 99.762 100 99.721 100 100 100 100 100 99.153
IVIA5901 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
IVIA6902 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 97.345
Je1 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je103 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je118 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je13 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je17 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je35 100 100 99.762 100 99.721 100 100 100 100 99.709 99.153
Je4 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je43 100 100 99.762 100 99.721 100 100 100 100 99.709 99.153
Je51 100 100 99.762 100 99.721 100 100 100 100 99.709 99.153
Je60 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je63 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je73 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je78 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Je92 100 100 99.762 100 99.721 100 100 100 100 100 99.153
L95-1 97.949 99.307 99.524 100 99.441 99.545 98.198 98.864 99.215 100 99.153
LA-Y3C 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
LLAFAL718A 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 X X 99.153
LM10 98.462 98.96 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
M12 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
M23 100 100 99.762 100 99.721 100 100 100 100 100 99.153
MEDPRI047 98.974 99.48 99.524 100 99.721 99.091 100 100 97.959 100 99.153
OC8 98.974 99.48 99.524 100 99.721 99.091 100 100 97.959 100 99.153
Oak92-10 98.462 99.133 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
PD7202 X 99.133 99.524 98.955 98.603 95 96.396 99.432 98.116 99.709 99.153
R2XF4358_18 100 100 99.762 100 99.721 100 100 100 100 100 99.153
RBCF119 98.462 98.96 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
RH1 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
Red_Oak_2 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
Riv11 100 99.133 99.524 100 98.883 100 99.55 100 99.686 100 99.153
Riv13 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Riv16 100 99.133 99.524 100 98.883 100 99.55 100 99.686 100 99.153
Riv19 100 99.133 99.524 100 98.883 100 99.55 100 99.686 100 99.153
Riv25 100 99.133 99.524 100 98.883 100 99.55 100 99.686 100 99.153
Riv5 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
SLO 100 100 99.762 100 99.721 100 100 100 100 100 99.153
SRBB 98.462 99.133 99.524 100 99.162 99.545 X 99.432 99.686 100 99.153
Salento-1 X 99.133 99.524 98.955 98.603 95 96.396 99.432 98.116 99.709 99.153
Santa29b 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
Temecula1 100 100 99.762 100 99.721 100 100 100 100 100 99.153
Temecula1Star 100 100 99.762 100 99.721 100 100 100 100 100 99.153
TemeculaL 100 100 99.762 100 99.721 100 100 100 100 100 99.153
UVA519_1B 98.462 99.133 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
VALVAL072Ext X 99.133 99.524 100 99.162 99.545 98.649 99.432 99.686 100 99.153
WM1-1 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XF3348 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
XF3967_18 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL1752_17 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
XYL1961 X 98.44 99.524 98.955 98.603 95 96.396 99.432 97.959 100 99.153
XYL1966_18 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
XYL1968_18 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
XYL1981_17 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
XYL1981_18 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 X 100 99.153
XYL2014_18 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL2017_18 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL2055_17 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL2093_18 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL2153_18 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL461 100 100 99.762 100 99.721 100 100 100 100 100 99.153
XYL466_19 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
XYL468 98.462 99.307 99.524 100 99.162 99.545 98.649 98.864 99.215 100 99.153
